139150,6240.00021362305,9620
139150,6354.00021362305,9620
139150,6240.00021362305,9734
139150.00000042,6240.000214,10853.0300024223
139150.000000416,6240.000214,10813.6797139968
139177.824856209,6240.000214,10880.8548582072
138607,6822.27562360381,9620
138607,6632.27562360381,9620
138797,6822.27562360381,9620
140429.200166706,6822.27562360381,9620
140315.200166706,6822.27562360381,9620
140429.200166706,6822.27562360381,9734
140429.31738,6822.277354,10428.390133
140429.31738,6822.277354,10380.4712868289
140429.822652059,6788.04554669009,10461.9183880517
139150,6822.276,9620
139150,6622.276,9620
139150,6609.876,9620
139150,6240.00021363268,9824.00000000963
139271.142033209,6240.000214,10974.1720352102
138607,3618,9620
138607,3770,9620
138607,3922,9620
138954.000000016,6822.27562357559,9620.00000001217
139342,6822.27562360381,9620
139469,6822.27562360381,9620
140433.997327388,6505.21441008165,10738.9413114779
